modelo,n_obs,MAE,RMSE,WMAPE,BIAS_PCT
media_movel_3m,12,2463.724652358334,3793.4542737101883,0.20608880254644363,-0.0882115821415564
naive_sazonal_12m,12,2624.447528891667,3271.9676786991286,0.21953315605196555,-0.21953315605196555
suav_exp_simples,12,2898.288621363404,4269.374451808898,0.24243976730070588,-0.18609510828296424
holt_tendencia,12,3595.70976521563,3857.6396098538817,0.3007785464615565,0.21510256761405683
naive_ultimo_mes,12,4280.407855641666,4825.634109945103,0.3580530513160929,0.2646347324189904
drift_linear,12,5198.461920042449,5547.212663173423,0.4348476162542428,0.3755602151074292
