data,modelo,real,previsto,nivel_servico,z,lead_time_meses_assumido,desvio_erro_validacao,demanda_no_lead_time,estoque_seguranca,estoque_necessario,estoque_total_medio,cobertura_observada_meses,saldo_vs_estoque_medio
2025-01-01,naive_sazonal_12m,9722.313552,7645.920188000001,0.95,1.65,1.0,1848.5985536711091,7645.920188000001,3050.1876135573298,10696.107801557331,405.1549125032258,0.041672685244746134,-10290.952889054106
2025-02-01,naive_sazonal_12m,14073.526841,14038.333122,0.95,1.65,1.0,1848.5985536711091,14038.333122,3050.1876135573298,17088.52073555733,612.7590601545238,0.04353983667899012,-16475.761675402806
2025-03-01,naive_sazonal_12m,8492.68584,7199.66166,0.95,1.65,1.0,1848.5985536711091,7199.66166,3050.1876135573298,10249.849273557329,367.0733567408602,0.04322229311862314,-9882.775916816468
2025-04-01,naive_sazonal_12m,6933.413439999999,6330.022176,0.95,1.65,1.0,1848.5985536711091,6330.022176,3050.1876135573298,9380.20978955733,283.15444423822225,0.04083911145477894,-9097.055345319108
2025-05-01,naive_sazonal_12m,11109.4945158,9232.230816,0.95,1.65,1.0,1848.5985536711091,9232.230816,3050.1876135573298,12282.418429557329,441.262365316129,0.039719391794879835,-11841.1560642412
2025-06-01,naive_sazonal_12m,11203.785613,9443.547516,0.95,1.65,1.0,1848.5985536711091,9443.547516,3050.1876135573298,12493.73512955733,485.6824930401111,0.04334985600550612,-12008.052636517219
2025-07-01,naive_sazonal_12m,11190.2652425,8986.132692,0.95,1.65,1.0,1848.5985536711091,8986.132692,3050.1876135573298,12036.320305557329,439.1659031290322,0.03924535242123705,-11597.154402428296
2025-08-01,naive_sazonal_12m,10330.511575,8384.83932,0.95,1.65,1.0,1848.5985536711091,8384.83932,3050.1876135573298,11435.026933557328,391.78377847741933,0.03792491549262112,-11043.243155079908
2025-09-01,naive_sazonal_12m,10566.643395,8001.6394056,0.95,1.65,1.0,1848.5985536711091,8001.6394056,3050.1876135573298,11051.82701915733,427.44511439,0.040452308118230015,-10624.38190476733
2025-10-01,naive_sazonal_12m,14511.898500000001,8603.438699999999,0.95,1.65,1.0,1848.5985536711091,8603.438699999999,3050.1876135573298,11653.626313557328,581.7067683096774,0.04008481511290045,-11071.91954524765
2025-11-01,naive_sazonal_12m,13502.550258000001,8978.66667,0.95,1.65,1.0,1848.5985536711091,8978.66667,3050.1876135573298,12028.85428355733,546.657037996,0.04048546589723791,-11482.19724556133
2025-12-01,naive_sazonal_12m,21819.01104,15118.297199999999,0.95,1.65,1.0,1848.5985536711091,15118.297199999999,3050.1876135573298,18168.48481355733,834.9433624258065,0.0382667830771585,-17333.541451131525
