data,vol_total,vol_f1,vol_f2,vol_f3,vol_f4,vol_f5,est_f1,est_f2,est_f3,est_f4,est_f5,estoque_total_medio,cobertura_observada_meses
2021-01-01,5529.732527369601,2305.4970979040004,1331.1912887680003,1014.0856635360001,558.3900066976001,320.56847046400003,84.06913769135484,41.9304018496,38.90451285429678,18.25797323486968,10.587343002701076,193.74936863282238,0.035037746884474655
2021-02-01,7565.714689468,3135.06777756,1862.76502284,1369.75814562,748.247889188,449.87585426,138.46210848708571,67.61689319125715,61.85930120228572,30.28165984425905,18.019989654895237,316.2399523797829,0.04179908513071619
2021-03-01,5785.83728936,2396.5911876,1419.5318448,1043.725254,589.58379816,336.40520480000004,103.76780713300646,52.800853973883875,45.300663281032264,23.41350633034323,14.672471107303227,239.95530182556905,0.04147287416236894
2021-04-01,4244.508312816,1741.1923872000002,1020.03085792,809.2283203200001,426.35582969600006,247.70091768000003,75.39228195498667,37.331265648640006,40.23199693440001,18.273074966755555,10.02214770488889,181.25076720967112,0.042702417771782165
2021-05-01,6473.328376,2681.53928,1563.0776879999999,1232.263992,636.144216,360.3032,110.88666081445162,57.74759009651613,56.53245179612903,23.272973146838712,14.487272580129034,262.92694843406457,0.04061696443654422
2021-06-01,10787.338677700001,4382.4694368,2639.0667069,2060.3711089,1088.2179412,617.2134839,204.60865609599998,112.940832264,109.31614839600002,50.85230769955556,30.994772963555558,508.7127174191111,0.0471583151895232
2021-07-01,9045.861555,3703.79662,2185.64512,1772.9760500000002,890.89868,492.54508500000003,172.54646567741935,83.6935600516129,89.02937192903225,40.47500018924732,23.963801935483872,409.70819978279576,0.0452923358700238
2021-08-01,8993.057585,3620.85582,2174.838115,1769.53037,915.1854950000001,512.647785,146.09481985032258,75.23421010193547,80.66880772258065,36.64975524989247,20.335781667096775,358.98337459182795,0.03991783341747922
2021-09-01,7533.92576,3080.0987800000003,1909.71227,1399.90161,710.33899,433.87411,131.81303065866666,68.25877434666667,64.886755846,30.063593402666672,18.445973888000005,313.46812814200007,0.041607541423662776
2021-10-01,5531.52261,2275.1682600000004,1324.44945,1059.48213,557.50566,314.91711000000004,95.96395718709678,47.02167476129033,49.3194916451613,22.54715726451613,13.523835303225807,228.37611616129033,0.04128630257217557
2021-11-01,6729.455793000001,2707.17477,1682.545044,1307.6656110000001,658.5404910000001,373.529877,120.44538612,58.62260238,65.48019183,29.775212016,17.135427648000004,291.458819994,0.04331090491703301
2021-12-01,11958.08508,4877.68428,2911.7286000000004,2296.53018,1194.0768,678.0652200000001,210.7487473548387,108.80709212903226,107.0188318451613,48.034782348387104,26.229319122580645,500.8387728,0.04188285745162134
2022-01-01,6964.830237000001,2858.7173340000004,1703.9528760000003,1327.1126880000002,682.4388270000002,392.6085120000001,117.56066485935484,62.309744454193556,56.826621081290334,25.580816485161296,16.126855463225812,278.40470234322584,0.03997293442476562
2022-02-01,9995.6328543,4066.2777762,2433.3127802999998,1935.9855287999999,998.0578134,561.9989555999999,177.49337616,88.07680999285712,91.78815124285714,43.999146531428565,25.38566298857143,426.7431469157142,0.04269295932894679
2022-03-01,6894.9918,2795.5150200000003,1760.5674,1274.11731,663.20667,401.5854,114.24478633548387,64.63723029677419,60.60668243225807,28.326685393548388,16.96082825806452,284.776212716129,0.04130189287768682
2022-04-01,4212.9189021600005,1739.3390265600003,1013.4856144800001,808.9851038400001,419.14965600000005,231.95950128,73.11974425600002,36.352539392000004,35.31891456000001,15.635273557333337,8.656443648,169.08291541333335,0.04013438647647432
2022-05-01,10822.825767600001,4403.5854432,2584.1126664,2135.8588512,1092.060984,607.2078228,181.3469040929032,94.56997695483871,88.87341544258064,41.45644224000001,24.07635195870968,430.32309068903226,0.039760696506570284
2022-06-01,13905.268896000001,5711.400896,3454.8390560000003,2614.882192,1346.713632,777.43312,256.70115481600004,126.59832002133334,119.68523964800002,55.42492683377779,34.68092216888889,593.090563488,0.04265221822920726
2022-07-01,6630.33488,2680.98584,1632.20172,1277.18532,660.58318,379.37881999999996,108.92914890322581,55.23793006451613,58.267310709677425,26.395710761290324,14.911109677419356,263.741210116129,0.039777962182828544
2022-08-01,7565.26688,3157.49552,1840.9852799999999,1407.55008,741.16164,418.07435999999996,126.61565574193548,66.75156309677419,64.77446787096774,27.239156989247313,17.060328086021507,302.4411717849462,0.03997759452273893
2022-09-01,6665.96556,2696.35504,1595.31268,1330.55926,673.32562,370.41296,121.75230080000001,66.4681696,67.53625860000001,30.6160048,17.667008533333334,304.0397423333333,0.04561075805098119
2022-10-01,6653.01861,2726.05294,1629.03953,1289.83961,639.63516,368.45137,110.44005367741934,56.79101999999999,59.4507195483871,26.09785961290323,16.244080344086022,269.02373318279564,0.04043634159965105
2022-11-01,7884.932778,3257.93956,1942.9434299999998,1455.88436,780.3016359999999,447.863792,136.85276658666666,70.53095078666666,70.96137048,32.579136832,18.439100803555558,329.3633254888889,0.04177122808299088
2022-12-01,13058.468780000001,5282.90992,3235.8191,2528.41276,1275.15208,736.17492,216.47100077419356,110.49222245161292,112.09350387096775,51.442789161290335,29.815938064516132,520.3154543225806,0.0398450586426704
2023-01-01,9157.274784,3724.705208,2218.9183799999996,1787.5016879999998,917.578536,508.570972,153.70098167741932,76.83598214193547,82.51168854193548,36.28781935483871,20.952285832258063,370.288757548387,0.04043656724109362
2023-02-01,10410.241512,4213.13752,2573.1308599999998,2003.783168,1026.147782,594.042182,195.84482397142855,93.46252244285714,99.07660566428571,46.89760771428571,28.37535457142857,463.6569143642856,0.04453853580916669
2023-03-01,10134.683299999999,4177.6176399999995,2451.08878,1938.71342,1001.41286,565.8506,162.4054399483871,83.1593050580645,81.92198957419355,36.36715413333334,19.790747561290324,383.64463627526885,0.03785462504538932
2023-04-01,7336.864164,2949.287544,1882.1827079999998,1369.539024,709.1199359999999,426.73495199999996,127.57884988799997,69.81065985599999,56.957047839999994,27.577601955555554,18.147232867555555,300.07139240711103,0.04089913424859082
2023-05-01,9702.08736,3978.65048,2379.04772,1844.4068439999999,958.625528,541.3567879999999,161.55301011612903,78.23429979354839,82.3331625832258,39.049453453763434,22.797836910107527,383.9677628567742,0.03957578906574329
2023-06-01,8848.029032808,3635.4039232,2135.46582928,1669.3148849999998,900.1046159279999,507.7397794,142.41328938666666,76.43644885333333,82.3547256,37.44624894577778,20.617787754666665,359.26850054044445,0.04060435371632449
2023-07-01,8376.351076968,3519.25893284,2026.3623783199998,1524.9063295199999,818.608198128,487.21523815999996,143.54511974193545,74.02125576774192,69.87747967741934,30.3102832516129,17.28887397849462,335.0430124172042,0.039998683118530436
2023-08-01,8667.101141719999,3571.3562413199998,2137.3278947999997,1568.20410348,872.8186642,517.3942379199999,165.99807261935482,87.62476185806452,78.85099374193548,37.58316246021506,21.75867089892473,391.8156615784946,0.04520723309578665
2023-09-01,8105.744572631999,3369.5501504,1947.5202465599998,1503.63798312,817.295773952,467.7404186,156.04288298666663,77.75550943999998,79.56837504,35.064399253333335,20.966428124444445,369.3975948444444,0.045572321152540105
2023-10-01,8531.400163999999,3473.333584,2045.1439679999999,1668.949772,871.491236,472.48160399999995,142.0271732645161,72.29980283354837,78.33392691870966,34.42889523612903,18.701378862795696,345.7911771156989,0.04053158572667075
2023-11-01,8597.63219,3491.4270159999996,2136.023918,1649.1732599999998,840.076972,480.931024,146.33804117333332,77.42808210666665,74.60567547999999,31.105569102222223,19.183429937777777,348.66079779999995,0.04055311859066629
2023-12-01,11681.34548,4756.497120000001,2824.438,2272.71468,1172.67468,655.0210000000001,202.12885522580646,109.91921212903225,108.7932990967742,49.64151294623656,29.929667784946236,500.4125471827957,0.042838605196598954
2024-01-01,7645.920188000001,3081.2722000000003,1919.8759200000002,1452.49447,759.7109120000001,432.566686,134.40276776774195,70.62246412903227,72.64842872903226,34.408872853333335,20.139189292043014,332.2217227711828,0.043450848897506535
2024-02-01,14038.333122,5728.068547999999,3499.9627539999997,2659.4299239999996,1362.8681379999998,788.003758,213.08559762206895,113.86008572965515,114.20525707862069,49.825642699770114,28.465551558620692,519.4421346887357,0.03700169601152279
2024-03-01,7199.66166,2909.23224,1798.6902,1373.89698,705.3489,412.49334,113.43964614193547,58.71999421935484,58.571607019354836,27.127456412903225,16.007531974193547,273.86623576774195,0.038038764694915114
2024-04-01,6330.022176,2539.671744,1566.414336,1246.29072,630.50976,347.135616,120.483355008,61.276736256,65.184676224,28.360762368000003,16.142245973333335,291.44777582933335,0.04604214135842126
2024-05-01,9232.230816,3734.8884,2210.9696639999997,1830.6641759999998,940.2736439999999,515.434932,157.19514252387097,76.10776648258064,88.44897469935485,41.02297942709677,22.628293161290323,385.40315629419354,0.04174539869890029
2024-06-01,9443.547516,3875.9488560000004,2319.324306,1813.1140560000001,914.60382,520.5564780000001,150.57697948799998,78.36764322399999,75.62468783999999,32.75892103466667,17.925728288000002,355.25395987466663,0.03761869776932529
2024-07-01,8986.132692,3647.178192,2207.06022,1697.405112,915.5409599999999,518.948208,160.157394116129,85.14280892903226,74.69507369032259,37.05028500645161,22.800883819354837,379.8464455612903,0.04227029118982993
2024-08-01,8384.83932,3387.5712,2044.9167599999998,1664.15988,826.17468,462.0168,141.8589008516129,72.30686446451611,81.21486658064516,36.092359432258064,19.83306498064516,351.3060563096774,0.04189776844879091
2024-09-01,8001.6394056,3295.8123624,1922.0170068,1532.7286331999999,799.8374688,451.2439344,132.21275839999998,69.52670687999999,71.13316272,32.7274464,18.398822826666667,323.99889722666666,0.04049156439115638
2024-10-01,8603.438699999999,3504.9891,2182.32417,1589.991372,828.834012,497.30004599999995,142.62209527741936,76.09085303225807,69.02080258064515,30.990042116129036,18.524741058064514,337.2485340645161,0.03919927203811147
2024-11-01,8978.66667,3681.471396,2188.7259599999998,1706.804238,890.183178,511.481898,155.120677056,80.544250608,73.116465552,34.590671146666665,20.115798293333334,363.48786265599995,0.04048350117178366
2024-12-01,15118.297199999999,6060.80352,3722.13852,3007.40568,1489.6254,838.32408,254.63305827096775,130.75992464516128,137.8604991483871,59.0505967483871,35.05192258064516,617.3560013935484,0.0408350221738959
2025-01-01,9722.313552,4098.63036,2301.012756,1863.4100760000001,931.931172,527.329188,169.53147688258065,86.27214253935483,88.1445884516129,38.482105682580645,22.724598947096773,405.1549125032258,0.041672685244746134
2025-02-01,14073.526841,5672.633844,3499.6200129999997,2713.530562,1387.278046,800.464376,255.94420537714285,135.49956752857142,132.5310123192857,54.93972472190476,33.844550207619044,612.7590601545238,0.04353983667899012
2025-03-01,8492.68584,3528.93112,2063.08666,1601.9675200000001,827.1700050000001,471.53053500000004,148.62040322580646,81.39800729032258,79.73441462903227,35.617316954838714,21.703214640860217,367.0733567408602,0.04322229311862314
2025-04-01,6933.413439999999,2841.4358079999997,1726.2481119999998,1278.8458879999998,685.515736,401.367896,114.73822555733334,61.30488569600001,60.200644928,29.147293269333332,17.76339478755556,283.15444423822225,0.04083911145477894
2025-05-01,11109.4945158,4557.5470583999995,2679.7299168,2170.1412264,1097.2520676,604.8242465999999,182.04374127483868,91.78056541935483,100.52693149935483,43.51480448,23.396322642580643,441.262365316129,0.039719391794879835
2025-06-01,11203.785613,4595.635989,2652.713085,2188.7666945,1135.604256,631.0655885,202.896094612,98.99065127133332,105.64319095500001,49.68322995288889,28.46932624888889,485.6824930401111,0.04334985600550612
2025-07-01,11190.2652425,4561.461645,2841.289065,2072.91149,1071.9389125,642.66413,181.19283155483868,96.83171956129031,93.58509758709677,41.16208838709677,26.394166038709677,439.1659031290322,0.03924535242123705
2025-08-01,10330.511575,4221.57662,2495.18298,1989.2007999999998,1039.852925,584.6982499999999,161.6117291612903,78.63888625161289,87.2142235548387,41.18450469677419,23.134434812903226,391.78377847741933,0.03792491549262112
2025-09-01,10566.643395,4234.08249,2649.9165,2065.9419,1034.92587,581.7766349999999,178.06624412,94.22212216,92.90897715,40.46830909333333,21.77946186666667,427.44511439,0.040452308118230015
2025-10-01,14511.898500000001,5912.42028,3521.6803800000002,2826.2493,1433.67864,817.8699,241.2131230451613,132.41251904516128,120.27145261935485,54.25873796129032,33.55093563870968,581.7067683096774,0.04008481511290045
2025-11-01,13502.550258000001,5475.7051200000005,3341.440314,2605.061358,1317.653496,762.68997,224.245133136,112.430602632,121.260368916,56.342701728,32.378231584000005,546.657037996,0.04048546589723791
2025-12-01,21819.01104,8930.80296,5263.40268,4186.666440000001,2222.7278400000005,1215.4111200000002,330.3431321806452,175.4359344,190.45458580645166,90.39367184516131,48.316038193548394,834.9433624258065,0.0382667830771585
