modelo,n_obs,MAE,RMSE,WMAPE,BIAS_PCT
naive_sazonal_12m,12,1252.7381834146663,1781.2937453879094,0.1342666284818893,-0.021560520174829123
suav_exp_simples,12,1769.7473172203972,2667.6837841772804,0.1896789039353468,-0.03525970821419958
holt_tendencia,12,2010.718809333266,2963.2319753222832,0.21550587259854714,-0.03624254044511692
media_movel_3m,12,2134.5864014,2912.4349079512804,0.22878181819129456,-0.033180573300880555
naive_ultimo_mes,12,2484.020034733333,3559.663092919507,0.2662335989759738,-0.03069728414450619
drift_linear,12,2510.894469782747,3595.30284623032,0.269113961236989,-0.021183878735265785
