data,modelo,real,previsto,horizonte_meses
2024-01-01,naive_ultimo_mes,7645.920188000001,11681.34548,1
2024-01-01,naive_sazonal_12m,7645.920188000001,9157.274784,1
2024-01-01,media_movel_3m,7645.920188000001,9603.459278,1
2024-01-01,drift_linear,7645.920188000001,11857.105850075155,1
2024-01-01,suav_exp_simples,7645.920188000001,9137.802472883164,1
2024-01-01,holt_tendencia,7645.920188000001,9102.83927136533,1
2024-02-01,naive_ultimo_mes,14038.333122,7645.920188000001,1
2024-02-01,naive_sazonal_12m,14038.333122,10410.241512,1
2024-02-01,media_movel_3m,14038.333122,9308.299286,1
2024-02-01,drift_linear,14038.333122,7704.703178573068,1
2024-02-01,suav_exp_simples,14038.333122,8914.02013015069,1
2024-02-01,holt_tendencia,14038.333122,8853.446528263361,1
2024-03-01,naive_ultimo_mes,7199.66166,14038.333122,1
2024-03-01,naive_sazonal_12m,7199.66166,10134.683299999999,1
2024-03-01,media_movel_3m,7199.66166,11121.866263333335,1
2024-03-01,drift_linear,7199.66166,14268.295300233254,1
2024-03-01,suav_exp_simples,7199.66166,9682.667078928085,1
2024-03-01,holt_tendencia,7199.66166,10977.427111075673,1
2024-04-01,naive_ultimo_mes,6330.022176,7199.66166,1
2024-04-01,naive_sazonal_12m,6330.022176,7336.864164,1
2024-04-01,media_movel_3m,6330.022176,9627.971656666667,1
2024-04-01,drift_linear,6330.022176,7243.607163490274,1
2024-04-01,suav_exp_simples,6330.022176,9310.216266088872,1
2024-04-01,holt_tendencia,6330.022176,10060.582387966746,1
2024-05-01,naive_ultimo_mes,9232.230816,6330.022176,1
2024-05-01,naive_sazonal_12m,9232.230816,9702.08736,1
2024-05-01,media_movel_3m,9232.230816,9189.338986,1
2024-05-01,drift_linear,9232.230816,6350.54242340078,1
2024-05-01,suav_exp_simples,9232.230816,8863.187152575541,1
2024-05-01,holt_tendencia,9232.230816,8941.002453309358,1
2024-06-01,naive_ultimo_mes,9443.547516,9232.230816,1
2024-06-01,naive_sazonal_12m,9443.547516,8848.029032808,1
2024-06-01,media_movel_3m,9443.547516,7587.304884,1
2024-06-01,drift_linear,9443.547516,9324.793273215759,1
2024-06-01,suav_exp_simples,9443.547516,8918.54370208921,1
2024-06-01,holt_tendencia,9443.547516,8859.632853119014,1
2024-07-01,naive_ultimo_mes,8986.132692,9443.547516,1
2024-07-01,naive_sazonal_12m,8986.132692,8376.351076968,1
2024-07-01,media_movel_3m,8986.132692,8335.266836,1
2024-07-01,drift_linear,8986.132692,9539.006418161718,1
2024-07-01,suav_exp_simples,8986.132692,8997.294274175829,1
2024-07-01,holt_tendencia,8986.132692,8917.125227550367,1
2024-08-01,naive_ultimo_mes,8384.83932,8986.132692,1
2024-08-01,naive_sazonal_12m,8384.83932,8667.101141719999,1
2024-08-01,media_movel_3m,8384.83932,9220.637008,1
2024-08-01,drift_linear,8384.83932,9068.427934015008,1
2024-08-01,suav_exp_simples,8384.83932,8995.620036849454,1
2024-08-01,holt_tendencia,8384.83932,8853.654142124466,1
2024-09-01,naive_ultimo_mes,8001.6394056,8384.83932,1
2024-09-01,naive_sazonal_12m,8001.6394056,8105.744572631999,1
2024-09-01,media_movel_3m,8001.6394056,8938.173175999998,1
2024-09-01,drift_linear,8001.6394056,8451.237152386753,1
2024-09-01,suav_exp_simples,8001.6394056,8904.002929322036,1
2024-09-01,holt_tendencia,8001.6394056,8602.985817566037,1
2024-10-01,naive_ultimo_mes,8603.438699999999,8001.6394056,1
2024-10-01,naive_sazonal_12m,8603.438699999999,8531.400163999999,1
2024-10-01,media_movel_3m,8603.438699999999,8457.5371392,1
2024-10-01,drift_linear,8603.438699999999,8057.8191073779635,1
2024-10-01,suav_exp_simples,8603.438699999999,8768.64840076373,1
2024-10-01,holt_tendencia,8603.438699999999,8251.533124201038,1
2024-11-01,naive_ultimo_mes,8978.66667,8603.438699999999,1
2024-11-01,naive_sazonal_12m,8978.66667,8597.63219,1
2024-11-01,media_movel_3m,8978.66667,8329.972475199998,1
2024-11-01,drift_linear,8978.66667,8671.743281614008,1
2024-11-01,suav_exp_simples,8978.66667,8743.86694564917,1
2024-11-01,holt_tendencia,8978.66667,8177.982805054671,1
2024-12-01,naive_ultimo_mes,15118.297199999999,8978.66667,1
2024-12-01,naive_sazonal_12m,15118.297199999999,11681.34548,1
2024-12-01,media_movel_3m,15118.297199999999,8527.914925199999,1
2024-12-01,drift_linear,15118.297199999999,9053.643499187618,1
2024-12-01,suav_exp_simples,15118.297199999999,8779.086904301796,1
2024-12-01,holt_tendencia,15118.297199999999,8306.703993001245,1
