data,modelo,real,previsto
2025-01-01,naive_ultimo_mes,9722.313552,15118.297199999999
2025-02-01,naive_ultimo_mes,14073.526841,15118.297199999999
2025-03-01,naive_ultimo_mes,8492.68584,15118.297199999999
2025-04-01,naive_ultimo_mes,6933.413439999999,15118.297199999999
2025-05-01,naive_ultimo_mes,11109.4945158,15118.297199999999
2025-06-01,naive_ultimo_mes,11203.785613,15118.297199999999
2025-07-01,naive_ultimo_mes,11190.2652425,15118.297199999999
2025-08-01,naive_ultimo_mes,10330.511575,15118.297199999999
2025-09-01,naive_ultimo_mes,10566.643395,15118.297199999999
2025-10-01,naive_ultimo_mes,14511.898500000001,15118.297199999999
2025-11-01,naive_ultimo_mes,13502.550258000001,15118.297199999999
2025-12-01,naive_ultimo_mes,21819.01104,15118.297199999999
2025-01-01,naive_sazonal_12m,9722.313552,7645.920188000001
2025-02-01,naive_sazonal_12m,14073.526841,14038.333122
2025-03-01,naive_sazonal_12m,8492.68584,7199.66166
2025-04-01,naive_sazonal_12m,6933.413439999999,6330.022176
2025-05-01,naive_sazonal_12m,11109.4945158,9232.230816
2025-06-01,naive_sazonal_12m,11203.785613,9443.547516
2025-07-01,naive_sazonal_12m,11190.2652425,8986.132692
2025-08-01,naive_sazonal_12m,10330.511575,8384.83932
2025-09-01,naive_sazonal_12m,10566.643395,8001.6394056
2025-10-01,naive_sazonal_12m,14511.898500000001,8603.438699999999
2025-11-01,naive_sazonal_12m,13502.550258000001,8978.66667
2025-12-01,naive_sazonal_12m,21819.01104,15118.297199999999
2025-01-01,media_movel_3m,9722.313552,10900.134189999999
2025-02-01,media_movel_3m,14073.526841,10900.134189999999
2025-03-01,media_movel_3m,8492.68584,10900.134189999999
2025-04-01,media_movel_3m,6933.413439999999,10900.134189999999
2025-05-01,media_movel_3m,11109.4945158,10900.134189999999
2025-06-01,media_movel_3m,11203.785613,10900.134189999999
2025-07-01,media_movel_3m,11190.2652425,10900.134189999999
2025-08-01,media_movel_3m,10330.511575,10900.134189999999
2025-09-01,media_movel_3m,10566.643395,10900.134189999999
2025-10-01,media_movel_3m,14511.898500000001,10900.134189999999
2025-11-01,media_movel_3m,13502.550258000001,10900.134189999999
2025-12-01,media_movel_3m,21819.01104,10900.134189999999
2025-01-01,drift_linear,9722.313552,15322.309214311284
2025-02-01,drift_linear,14073.526841,15526.32122862257
2025-03-01,drift_linear,8492.68584,15730.333242933855
2025-04-01,drift_linear,6933.413439999999,15934.345257245139
2025-05-01,drift_linear,11109.4945158,16138.357271556424
2025-06-01,drift_linear,11203.785613,16342.36928586771
2025-07-01,drift_linear,11190.2652425,16546.381300178993
2025-08-01,drift_linear,10330.511575,16750.39331449028
2025-09-01,drift_linear,10566.643395,16954.405328801564
2025-10-01,drift_linear,14511.898500000001,17158.41734311285
2025-11-01,drift_linear,13502.550258000001,17362.429357424135
2025-12-01,drift_linear,21819.01104,17566.44137173542
2025-01-01,suav_exp_simples,9722.313552,9729.968448656526
2025-02-01,suav_exp_simples,14073.526841,9729.968448656526
2025-03-01,suav_exp_simples,8492.68584,9729.968448656526
2025-04-01,suav_exp_simples,6933.413439999999,9729.968448656526
2025-05-01,suav_exp_simples,11109.4945158,9729.968448656526
2025-06-01,suav_exp_simples,11203.785613,9729.968448656526
2025-07-01,suav_exp_simples,11190.2652425,9729.968448656526
2025-08-01,suav_exp_simples,10330.511575,9729.968448656526
2025-09-01,suav_exp_simples,10566.643395,9729.968448656526
2025-10-01,suav_exp_simples,14511.898500000001,9729.968448656526
2025-11-01,suav_exp_simples,13502.550258000001,9729.968448656526
2025-12-01,suav_exp_simples,21819.01104,9729.968448656526
2025-01-01,holt_tendencia,9722.313552,10704.456752248536
2025-02-01,holt_tendencia,14073.526841,11399.311209746138
2025-03-01,holt_tendencia,8492.68584,12094.165667243738
2025-04-01,holt_tendencia,6933.413439999999,12789.02012474134
2025-05-01,holt_tendencia,11109.4945158,13483.874582238943
2025-06-01,holt_tendencia,11203.785613,14178.729039736545
2025-07-01,holt_tendencia,11190.2652425,14873.583497234147
2025-08-01,holt_tendencia,10330.511575,15568.437954731748
2025-09-01,holt_tendencia,10566.643395,16263.292412229352
2025-10-01,holt_tendencia,14511.898500000001,16958.146869726952
2025-11-01,holt_tendencia,13502.550258000001,17653.001327224556
2025-12-01,holt_tendencia,21819.01104,18347.855784722156
